code_postal,nom,code_insee,latitude,longitude,code_departement,nom_departement,code_region,nom_region
1340,Jayat,1196,46.3660828991,5.11429701617,1,Ain,84,Auvergne-Rhône-Alpes
1250,Journans,1197,46.1464982407,5.33452833151,1,Ain,84,Auvergne-Rhône-Alpes
1800,Joyeux,1198,45.9499899849,5.10261326872,1,Ain,84,Auvergne-Rhône-Alpes
1640,Jujurieux,1199,46.0497041467,5.41094771899,1,Ain,84,Auvergne-Rhône-Alpes
1450,Labalme,1200,46.0932491295,5.49438685213,1,Ain,84,Auvergne-Rhône-Alpes
1150,Lagnieu,1202,45.8917015798,5.32917518895,1,Ain,84,Auvergne-Rhône-Alpes
1290,Laiz,1203,46.2469919709,4.89933490972,1,Ain,84,Auvergne-Rhône-Alpes
1130,Le Poizat-Lalleyriat,1204,46.1479592076,5.71829194244,1,Ain,84,Auvergne-Rhône-Alpes
1130,Le Poizat-Lalleyriat,1204,46.1479592076,5.71829194244,1,Ain,84,Auvergne-Rhône-Alpes
1200,Lancrans,1205,46.1323202721,5.84050985141,1,Ain,84,Auvergne-Rhône-Alpes
1430,Lantenay,1206,46.0544405897,5.54127421165,1,Ain,84,Auvergne-Rhône-Alpes
1330,Lapeyrouse,1207,45.9859131165,4.98196682865,1,Ain,84,Auvergne-Rhône-Alpes
1350,Lavours,1208,45.8108837933,5.77267317838,1,Ain,84,Auvergne-Rhône-Alpes
1200,Léaz,1209,46.1086518044,5.87649017888,1,Ain,84,Auvergne-Rhône-Alpes
1410,Lélex,1210,46.2855010936,5.92927713771,1,Ain,84,Auvergne-Rhône-Alpes
1240,Lent,1211,46.1160216305,5.20200684747,1,Ain,84,Auvergne-Rhône-Alpes
1560,Lescheroux,1212,46.4114892731,5.15107164478,1,Ain,84,Auvergne-Rhône-Alpes
1150,Leyment,1213,45.9269989549,5.2947657235,1,Ain,84,Auvergne-Rhône-Alpes
1450,Leyssard,1214,46.1624187428,5.47633297491,1,Ain,84,Auvergne-Rhône-Alpes
1420,Lhôpital,1215,46.0238143134,5.76236736492,1,Ain,84,Auvergne-Rhône-Alpes
1680,Lhuis,1216,45.7444141403,5.53602066955,1,Ain,84,Auvergne-Rhône-Alpes
1260,Lochieu,1218,45.9302479879,5.7413126836,1,Ain,84,Auvergne-Rhône-Alpes
1680,Lompnas,1219,45.8105943351,5.52320457866,1,Ain,84,Auvergne-Rhône-Alpes
1260,Lompnieu,1221,45.9690865613,5.65968816497,1,Ain,84,Auvergne-Rhône-Alpes
1360,Loyettes,1224,45.7921564114,5.21770971647,1,Ain,84,Auvergne-Rhône-Alpes
1090,Lurcy,1225,46.061730034,4.78075207026,1,Ain,84,Auvergne-Rhône-Alpes
1300,Magnieu,1227,45.7754050255,5.71540945601,1,Ain,84,Auvergne-Rhône-Alpes
1430,Maillat,1228,46.1201642836,5.52854394238,1,Ain,84,Auvergne-Rhône-Alpes
1340,Malafretaz,1229,46.3295545661,5.14386299599,1,Ain,84,Auvergne-Rhône-Alpes
1560,Mantenay-Montlin,1230,46.4302754511,5.10675899732,1,Ain,84,Auvergne-Rhône-Alpes
1570,Manziat,1231,46.3643830585,4.90242777155,1,Ain,84,Auvergne-Rhône-Alpes
1851,Marboz,1232,46.3434312497,5.24374534963,1,Ain,84,Auvergne-Rhône-Alpes
1680,Marchamp,1233,45.7738495266,5.54985181107,1,Ain,84,Auvergne-Rhône-Alpes
1300,Marignieu,1234,45.8010384947,5.71570352924,1,Ain,84,Auvergne-Rhône-Alpes
1240,Marlieux,1235,46.0549073186,5.0741150816,1,Ain,84,Auvergne-Rhône-Alpes
1340,Marsonnas,1236,46.3409117711,5.06434294764,1,Ain,84,Auvergne-Rhône-Alpes
